Project name,Data source,Core capacities,PHEICs (response funding),Funder,Funder type,"Funder including specific sub-organization, if any",Recipient,Recipient type,"Recipient including specific sub-organization, if any",Support type,Transaction year range,Amount committed,Amount disbursed,Response-specific transaction year range,Response-specific amount committed,Response-specific amount disbursed,Transaction currency
COVID-19 WWF frame 2018-2020,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Asia,Other,Asia,Direct financial support,2020,,"1,172,676.63",2020,0.00,"1,172,676.63",USD
COVID-19 Inception-phase - Resilience & Livelihood Improvement for Youth through systems,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Kenya,Government,Kenya,Direct financial support,2020,,"542,905.85",2020,0.00,"542,905.85",USD
Help Feed Women and Children Affected by COVID-19,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,Benin,Government,Benin,Direct financial support,2021,,420.00,2021,0.00,420.00,USD
COVID-19 UNICEF Humanitarian Support 2018-2021,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Tunisia,Government,Tunisia,Direct financial support,2020,,"473,837.83",2020,0.00,"473,837.83",USD
COVID-19 ICRC Appeals 2018-2020: Operations,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Somalia,Government,Somalia,Direct financial support,2020,,"5,411,609.50",2020,0.00,"5,411,609.50",USD
Covid-19 Pandemic: Support 3000 IDPs in Kuchigoro,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,Nigeria,Government,Nigeria,Direct financial support,2020,,6.00,2020,0.00,6.00,USD
COVID.Emergency food aid for informal settlements,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,Colombia,Government,Colombia,Direct financial support,2020,,860.00,2020,0.00,860.00,USD
Support to the effective implementation of covid-19 social protection response in Rwanda,IATI Registry,,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Rwanda,Government,Rwanda,Direct financial support,2020,,"94,624.70",2020,0.00,"94,624.70",USD
Blue Oval COVID-19 Response Fund,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,United States of America,Government,United States of America,Direct financial support,2020,,"141,046.00",2020,0.00,"141,046.00",USD
START Fund COVID 19 Nepal,IATI Registry,,2019-2021 COVID-19 Pandemic,CARE International,Organization,CARE International (CARE International UK),Nepal,Government,Nepal,Direct financial support,2020,,"112,987.83",2020,0.00,"112,987.83",USD
EU Support to COVID-19 Response in Bosnia and Herzegovina,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Bosnia and Herzegovina,Government,Bosnia and Herzegovina,Direct financial support,2020,,"2,390,961.76",2020,0.00,"2,390,961.76",USD
Emergency COVID in Ethiopia,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,Ethiopia,Government,Ethiopia,Direct financial support,2021,,298.00,2021,0.00,298.00,USD
COVID-19 UNDP FFS Iraq 2018,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Iraq,Government,Iraq,Direct financial support,2020,,"2,165,325.69",2020,0.00,"2,165,325.69",USD
COVID-19 Union to Union Frame 2018-2019,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Thailand,Government,Thailand,Direct financial support,2020,,"11,943.16",2020,0.00,"11,943.16",USD
COVID-19 Kvinna till Kvinna framework agreement 2019-2023,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020 - 2021,,"678,197.88",2020 - 2021,0.00,"678,197.88",USD
COVID-19 Diakonia frame 2016-2020,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Cambodia,Government,Cambodia,Direct financial support,2020,,"211,365.31",2020,0.00,"211,365.31",USD
COVID-19 Swedish Mission Council frame 2017-2021,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Colombia,Government,Colombia,Direct financial support,2020,,"120,727.78",2020,0.00,"120,727.78",USD
Covid-Plus: Support scheme for renewable energy businesses that provide access to energy in Mozambique during the Covid-19 pandemic,IATI Registry,,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Mozambique,Government,Mozambique,Direct financial support,2020,,"2,394,275.35",2020,0.00,"2,394,275.35",USD
COVID-19 Swedish Mission Council frame 2017-2021,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Bangladesh,Government,Bangladesh,Direct financial support,2020,,"24,430.76",2020,0.00,"24,430.76",USD
COVID19 Hunger and Poverty Alleviation Program,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,Sri Lanka,Government,Sri Lanka,Direct financial support,2020,,44.00,2020,0.00,44.00,USD
510 Global Covid,IATI Registry,,2019-2021 COVID-19 Pandemic,International Red Cross and Red Crescent Movement,Organization,International Red Cross and Red Crescent Movement (Netherlands Red Cross),Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020 - 2021,,"767,207.37",2020 - 2021,0.00,"767,207.37",USD
Supporting the mitigation of the COVID-19 impact on the dairy sector#s food security and safety in Sudan,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Industrial Development Organization (UNIDO)),Sudan,Government,Sudan,Direct financial support,2021,,"12,528.47",2021,0.00,"12,528.47",USD
COVID-19 Svenska kyrkan frame 2018-2022,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Haiti,Government,Haiti,Direct financial support,2020,,"312,170.86",2020,0.00,"312,170.86",USD
COVID-19 We Effect frame 2018-2022,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Malawi,Government,Malawi,Direct financial support,2020,,"232,587.14",2020,0.00,"232,587.14",USD
"FNUAP 2020 - We decide: Inclusión social, género y prevención de la violencia sexual para poblacione (COVID-19)",IATI Registry,,2019-2021 COVID-19 Pandemic,Spain,Government,Spain (Spanish Agency for International Development Cooperation (AECID)),Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,,"973,245.30",2020,0.00,"973,245.30",USD
Free the Vaccine for Covid-19!,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,United States of America,Government,United States of America,Direct financial support,2021,,"119,876.00",2021,0.00,"119,876.00",USD
"COVID-19 Relief for Brazil, Columbia and Bolivia",IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,Brazil,Government,Brazil,Direct financial support,2021,,"1,611.00",2021,0.00,"1,611.00",USD
COVID-19 We Effect frame 2018-2022,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Zambia,Government,Zambia,Direct financial support,2020,,"121,139.13",2020,0.00,"121,139.13",USD
Covid-19 Resource Mapping in Kenya and Kibera,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,Kenya,Government,Kenya,Direct financial support,2021,,"1,999.00",2021,0.00,"1,999.00",USD
COVID-19 ICRC Appeals 2018-2020: Operations,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Syrian Arab Republic,Government,Syrian Arab Republic,Direct financial support,2020,,"5,497,508.06",2020,0.00,"5,497,508.06",USD
Atención integral a mujeres vctimas de violencia intrafamiliar en tiempos de Covid-19,IATI Registry,,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Colombia,Government,Colombia,Direct financial support,2020,,"699,099.29",2020,0.00,"699,099.29",USD
Urgent- Corona Virus Relief to Most Needy (India),IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,India,Government,India,Direct financial support,2020,,50.00,2020,0.00,50.00,USD
COVID-19 ForumCiv frame 2018-2022,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Lebanon,Government,Lebanon,Direct financial support,2020,,"142,784.62",2020,0.00,"142,784.62",USD
Assist with SHRI's COVID-19 Response Efforts,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,India,Government,India,Direct financial support,2021,,"51,728.00",2021,0.00,"51,728.00",USD
"COVID-19 IM Swedish Development Partner, 2019-2023",IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Europe,Other,Europe,Direct financial support,2020,,"190,559.95",2020,0.00,"190,559.95",USD
"Support 49 children w/ autism, Mex covid-19 crisis",IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,Mexico,Government,Mexico,Direct financial support,2020,,400.00,2020,0.00,400.00,USD
Fortalecimiento de capacidades de 7 OSC locales para brindar respuesta humanitaria a la población afectada por la pandemia COVID-19 en la República Dominicana,IATI Registry,,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Dominican Republic,Government,Dominican Republic,Direct financial support,2020,,"200,840.79",2020,0.00,"200,840.79",USD
COVID-19 Rädda Barnen frame 2017-2021,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Cote d'Ivoire,Government,Cote d'Ivoire,Direct financial support,2020,,"783,956.05",2020,0.00,"783,956.05",USD
Guiding the Blind through the COVID-19 Pandemic,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,South Africa,Government,South Africa,Direct financial support,2020,,40.00,2020,0.00,40.00,USD
Fighting covid-19,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,Spain,Government,Spain,Direct financial support,2021,,185.00,2021,0.00,185.00,USD
The Henry Ford COVID-19 Response,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,United States of America,Government,United States of America,Direct financial support,2020,,275.00,2020,0.00,275.00,USD
EU RESPONSE TO HEALTH AND SOCIO-ECONOMIC IMPACT OF COVID-19 IN MOGADISHU,IATI Registry,,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Somalia,Government,Somalia,Direct financial support,2020,,"5,068,262.70",2020,0.00,"5,068,262.70",USD
Support to COVID-19 crisis response in Montenegro,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Montenegro,Government,Montenegro,Direct financial support,2020,,"33,473,464.57",2020,0.00,"33,473,464.57",USD
Strengthening Indonesian CSOs capacity and resilience in response to COVID-19 pandemic (CO-EVOLVE),IATI Registry,,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Indonesia,Government,Indonesia,Direct financial support,2020,,"163,691.22",2020,0.00,"163,691.22",USD
COVID-19 Naturskyddsföreningen framework 2017-2020,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Malaysia,Government,Malaysia,Direct financial support,2020,,"274,406.33",2020,0.00,"274,406.33",USD
COVID19 Relief in rural India,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,India,Government,India,Direct financial support,2021,,20.00,2021,0.00,20.00,USD
COVID-19 UNICEF Humanitarian Support 2018-2021,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Nigeria,Government,Nigeria,Direct financial support,2020,,"327,378.86",2020,0.00,"327,378.86",USD
COVID-19 Pacific and Timor-Leste Preparedness and Recovery NGO Partnership,IATI Registry,,2019-2021 COVID-19 Pandemic,Australia,Government,Australia,Tuvalu,Government,Tuvalu,Direct financial support,2020,,"172,264.80",2020,0.00,"172,264.80",USD
GIVING HOPE TO 60 STAFF AFFECTED BY COVID-19,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,Kenya,Government,Kenya,Direct financial support,2021,,"2,820.00",2021,0.00,"2,820.00",USD
COVID-19 Swedish Mission Council frame 2017-2021,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Palestine,Government,Palestine,Direct financial support,2020,,"160,356.67",2020,0.00,"160,356.67",USD
Soccer Aid (a benefit event for UNICEF UK) funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Children's Fund (UNICEF)),Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,,"4,240,000.00",2021,0.00,"4,240,000.00",USD
Global Fund approves flexibilities in Multicountry HIV Latin America ALEP grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Latin America,Other,Latin America,Direct financial support,2020,,"415,871.00",2020,0.00,"415,871.00",USD
Global Fund approves funding to Chad for COVID-19 diagnostic tests,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Chad,Government,Chad,Direct financial support,2020,,"2,830,594.00",2020,0.00,"2,830,594.00",USD
Global Fund approves funding to Tunisia for COVID-19 diagnostic tests,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Tunisia,Government,Tunisia,Direct financial support,2020,,"88,702.00",2020,0.00,"88,702.00",USD
"Facebook donates emergency reserve of 720,000 masks due to coronavirus outbreak",Reuters Media Release 22 March 2020,Unspecified,2019-2021 COVID-19 Pandemic,"Facebook, Inc.",Organization,"Facebook, Inc.",United States of America,Government,United States of America,In-kind support,2020,,n/a (in-kind support),2020,0.00,n/a (in-kind support),USD
Mekong sub-region - responding to cross-border mobility challenges at points of entry during COVID19,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Australia,Government,Australia,Asia,Other,Asia,Direct financial support,2020,,"150,429.25",2020,0.00,"150,429.25",USD
Behaviour Change Communication Campaign to respond to COVID19 and vaccine acceptance.,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,United Kingdom,Government,United Kingdom,Pakistan,Government,Pakistan,Direct financial support,2021,,"374,910.36",2021,0.00,"374,910.36",USD
QuantuMDx Emergency COVID-19 Holding Component,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,United Kingdom,Government,United Kingdom,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,,"4,290,660.00",2020,0.00,"4,290,660.00",USD
Benjamin Mkapa Foundation support to Government of Tanzania COVID-19,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,United Kingdom,Government,United Kingdom,United Republic of Tanzania,Government,United Republic of Tanzania,Direct financial support,2020 - 2021,,"2,113,336.83",2020 - 2021,0.00,"2,113,336.83",USD
COVID-19 pandemic response: Rapid review of physical distancing and alternative disease control measures in South Asia,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,United Kingdom,Government,United Kingdom,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,,"11,183.26",2020,0.00,"11,183.26",USD
"Supporting preparedness, mitigation and response to the primary and secondary impacts of COVID-19 on IDP and vulnerable populations in Yemen",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Action Against Hunger,Organization,Action Against Hunger (Action Against Hunger UK),Yemen,Government,Yemen,Direct financial support,2020,,"2,704,424.01",2020,0.00,"2,704,424.01",USD
Disability Inclusive Development (DID) Programme - TO36 Nepal Covid-19 response,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Handicap International,Organization,Handicap International (Handicap International UK),Nepal,Government,Nepal,Direct financial support,2020,,"193,329.63",2020,0.00,"193,329.63",USD
"Supporting preparedness, mitigation and response to the primary and secondary impacts of COVID-19 on IDP and vulnerable populations in Yemen",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Relief International UK,Organization,Relief International UK,Yemen,Government,Yemen,Direct financial support,2020,,"781,165.07",2020,0.00,"781,165.07",USD
COVID-19 Preparedness and Response in Sudan and South Sudan,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,GOAL,Organization,GOAL,Sudan; South Sudan,Government,Sudan; South Sudan,Direct financial support,2020,,"5,316,827.66",2020,0.00,"5,316,827.66",USD
UK-Med Support to the COVID-19 Response in Yemen,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,UK-Med,Organization,UK-Med,Yemen,Government,Yemen,Direct financial support,2020 - 2021,,"765,347.76",2020 - 2021,0.00,"765,347.76",USD
"Stop the Spread COVID-19 in Amhara, Ethiopia",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Amref Health Africa,Organization,Amref Health Africa (Amref Health Africa - UK),Ethiopia,Government,Ethiopia,Direct financial support,2020,,"115,847.82",2020,0.00,"115,847.82",USD
"Stop the Spread COVID-19, Kenya",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Amref Health Africa,Organization,Amref Health Africa (Amref Health Africa - UK),Kenya,Government,Kenya,Direct financial support,2020,,"281,286.28",2020,0.00,"281,286.28",USD
COVID-19 Emergency Response: Life on the streets in São Paulo - solidarity and resistance (Grito),IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Catholic Agency For Overseas Development (CAFOD),Organization,Catholic Agency For Overseas Development (CAFOD),Brazil,Government,Brazil,Direct financial support,2020,,"12,236.84",2020,0.00,"12,236.84",USD
COVID-19 Emergency Response: health accompaniment to vulnerably housed people in São Paulo,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Catholic Agency For Overseas Development (CAFOD),Organization,Catholic Agency For Overseas Development (CAFOD),Brazil,Government,Brazil,Direct financial support,2020,,"48,996.40",2020,0.00,"48,996.40",USD
Phase 2 - HAY Ye'kuana and Sanoma Emergency COVID-19 response,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Catholic Agency For Overseas Development (CAFOD),Organization,Catholic Agency For Overseas Development (CAFOD),Brazil,Government,Brazil,Direct financial support,2020,,"9,385.82",2020,0.00,"9,385.82",USD
Humanitarian aid for immediate assistance to hospitalised patients of Covid19 in Amazonas State,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Catholic Agency For Overseas Development (CAFOD),Organization,Catholic Agency For Overseas Development (CAFOD),Brazil,Government,Brazil,Direct financial support,2021,,"88,413.17",2021,0.00,"88,413.17",USD
Covid Humanitarian support plan for families from indigenous communities in rural areas of Verapaz,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Catholic Agency For Overseas Development (CAFOD),Organization,Catholic Agency For Overseas Development (CAFOD),Guatemala,Government,Guatemala,Direct financial support,2020,,"19,851.01",2020,0.00,"19,851.01",USD
Covid-19 Readiness and Response project (Core Project) Ref HIB102,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Catholic Agency For Overseas Development (CAFOD),Organization,Catholic Agency For Overseas Development (CAFOD),Ethiopia,Government,Ethiopia,Direct financial support,2020,,"2,011.25",2020,0.00,"2,011.25",USD
Covid-19 emergency response and recovery for poor communities in Pursat and Banteay Mean Chey,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Catholic Agency For Overseas Development (CAFOD),Organization,Catholic Agency For Overseas Development (CAFOD),Cambodia,Government,Cambodia,Direct financial support,2020,,"6,033.74",2020,0.00,"6,033.74",USD
Amplifying the Role of Faith Leaders to Prevent and Mitigate effects of COVID19,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Catholic Agency For Overseas Development (CAFOD),Organization,Catholic Agency For Overseas Development (CAFOD),Kenya,Government,Kenya,Direct financial support,2020,,"20,741.40",2020,0.00,"20,741.40",USD
Marsabit County COVID-19 Preparedness and Response Project,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Catholic Agency For Overseas Development (CAFOD),Organization,Catholic Agency For Overseas Development (CAFOD),Kenya,Government,Kenya,Direct financial support,2020,,"12,067.48",2020,0.00,"12,067.48",USD
COVID-19 Response Nepal - 2021,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Catholic Agency For Overseas Development (CAFOD),Organization,Catholic Agency For Overseas Development (CAFOD),Nepal,Government,Nepal,Direct financial support,2021,,"48,440.36",2021,0.00,"48,440.36",USD
Supporting Caritas-development-Niger in the Covid-19 response,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Catholic Agency For Overseas Development (CAFOD),Organization,Catholic Agency For Overseas Development (CAFOD),Niger,Government,Niger,Direct financial support,2020,,"23,524.88",2020,0.00,"23,524.88",USD
"COVID-19 Emergency Response in El Fasher, and CoVERED  North Darfur",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Catholic Agency For Overseas Development (CAFOD),Organization,Catholic Agency For Overseas Development (CAFOD),Sudan,Government,Sudan,Direct financial support,2020 - 2021,,"32,916.99",2020 - 2021,0.00,"32,916.99",USD
Support for families affected by COVID-19 third wave.,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Catholic Agency For Overseas Development (CAFOD),Organization,Catholic Agency For Overseas Development (CAFOD),Sri Lanka,Government,Sri Lanka,Direct financial support,2021,,"6,832.52",2021,0.00,"6,832.52",USD
Uganda COVID19 Response Project,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Catholic Agency For Overseas Development (CAFOD),Organization,Catholic Agency For Overseas Development (CAFOD),Uganda,Government,Uganda,Direct financial support,2020,,"20,979.99",2020,0.00,"20,979.99",USD
St Alberts Mission Hospital COVID-19 Emergency Response 2020,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Catholic Agency For Overseas Development (CAFOD),Organization,Catholic Agency For Overseas Development (CAFOD),Zimbabwe,Government,Zimbabwe,Direct financial support,2020,,"20,112.47",2020,0.00,"20,112.47",USD
DEC Emergency COVID-19 Response,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Vision International,Organization,World Vision International (World Vision UK),India,Government,India,Direct financial support,2021,,"50,000.00",2021,0.00,"50,000.00",USD
Helping schools in Manica and Sofala to prevent the spread of COVID-19,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Jewish Relief,Organization,World Jewish Relief,Mozambique,Government,Mozambique,Direct financial support,2020,,"20,986.67",2020,0.00,"20,986.67",USD
"Provision of life saving assistance to children under five years of age suffering from Severe Acute Malnutrition (SAM) amid the COVID-19 Pandemic in Borno and Yobe state, North east Nigeria",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Plan International,Organization,Plan International (Plan International UK),Nigeria,Government,Nigeria,Direct financial support,2021,,"435,493.28",2021,0.00,"435,493.28",USD
Lifesaving COVID19 prevention and response in White Nile,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Plan International,Organization,Plan International (Plan International UK),Sudan,Government,Sudan,Direct financial support,2020,,"400,941.02",2020,0.00,"400,941.02",USD
Strengthening the human rights of older people and women in Moldova (including COVID-19 responses).,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,HelpAge International,Organization,HelpAge International,Republic of Moldova,Government,Republic of Moldova,Direct financial support,2016 - 2020,,"127,749.11",2020,0.00,"39,822.96",USD
Covid-19 in Bangladesh,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,United Kingdom,Government,United Kingdom,Bangladesh,Government,Bangladesh,Direct financial support,2021,,"96,327.11",2021,0.00,"96,327.11",USD
Asian Development Bank support for health systems in the Greater Mekong sub-region to tackle Covid-19.,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,United Kingdom,Government,United Kingdom,Asia,Other,Asia,Direct financial support,2021,,"3,321,624.40",2021,0.00,"3,321,624.40",USD
Unilever COVID-19,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Population Services Kenya,Organization,Population Services Kenya,Kenya,Government,Kenya,Direct financial support,2020,,"206,820.54",2020,0.00,"206,820.54",USD
Medical Equipment Provision Project in response to COVID19,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Republic of Korea,Government,Republic of Korea,Ethiopia,Government,Ethiopia,Direct financial support,2021,,"12,258,267.70",2021,0.00,"12,258,267.70",USD
Covid-19 - FSM Coronavirus Response,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,New Zealand,Government,New Zealand,Federated States of Micronesia,Government,Federated States of Micronesia,Direct financial support,2020,,"7,044.06",2020,0.00,"7,044.06",USD
Covid-19 2020 - Cook Islands,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,New Zealand,Government,New Zealand,Cook Islands,Government,Cook Islands,Direct financial support,2020 - 2021,,"357,132.33",2020 - 2021,0.00,"357,132.33",USD
Covid-19 2020 Fiji,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,New Zealand,Government,New Zealand,Fiji,Government,Fiji,Direct financial support,2020,,"980,000.17",2020,0.00,"980,000.17",USD
2020 Covid-19 Papua New Guinea -  Immediate Health Systems Preparedness Activity,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,New Zealand,Government,New Zealand,Papua New Guinea,Government,Papua New Guinea,Direct financial support,2020,,"680,871.14",2020,0.00,"680,871.14",USD
Covid-19 2020 Vanuatu,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,New Zealand,Government,New Zealand,Vanuatu,Government,Vanuatu,Direct financial support,2020,,"907,622.00",2020,0.00,"907,622.00",USD
Covid-19: Contribution to Testing Services in Indonesia,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,New Zealand,Government,New Zealand,Indonesia,Government,Indonesia,Direct financial support,2020,,"354,389.26",2020,0.00,"354,389.26",USD
2020 Covid-19 - Tokelau,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,New Zealand,Government,New Zealand,New Zealand,Government,New Zealand (Tokelau),Direct financial support,2020 - 2021,,"894,172.48",2020 - 2021,0.00,"894,172.48",USD
COVID-19: Continuity Support of Sexual Reproductive Health & Rights Services across the Pacific,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,New Zealand,Government,New Zealand,Vanuatu; Papua New Guinea; Tuvalu; Fiji; Samoa; Cook Islands; Kiribati; Solomon Islands; Tonga,Government,Vanuatu; Papua New Guinea; Tuvalu; Fiji; Samoa; Cook Islands; Kiribati; Solomon Islands; Tonga,Direct financial support,2020,,"1,063,167.77",2020,0.00,"1,063,167.77",USD
COVID 19 PPE and C19 medical supplies,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,New Zealand,Government,New Zealand,Solomon Islands,Government,Solomon Islands,Direct financial support,2020,,"1,196.77",2020,0.00,"1,196.77",USD
Covid-19 - Suppporting the World Bank COVID project that will establish a Public Health Laboratory,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,New Zealand,Government,New Zealand,Samoa,Government,Samoa,Direct financial support,2021,,"229,087.76",2021,0.00,"229,087.76",USD
Covid-19 WHO-JIMT Liaison,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,New Zealand,Government,New Zealand,Vanuatu; Papua New Guinea; Fiji; Kiribati; Solomon Islands,Government,Vanuatu; Papua New Guinea; Fiji; Kiribati; Solomon Islands,Direct financial support,2021,,"3,377.58",2021,0.00,"3,377.58",USD
